total cost: 26.28
number of providers: 1

cost: 26.279999999999998
provider: Amazon
0a3d2fa4-bfa4-41bf-b435-42a122162a12__resourceContainer,e626e206-d2fa-426e-a6e2-888ae6bf472d__resourceContainer,d133dad5-79cb-44f8-9cd2-594a04417030__resourceContainer,62c6ba36-8da7-4e0d-9301-a8e09983a140__resourceContainer,d913ea2c-adf4-4da3-9d6a-3ccc65659114__resourceContainer,
1,1,1,1,1,
1,1,1,1,1,
1,1,1,1,1,
1,1,1,1,1,
1,1,1,1,1,
1,1,1,1,1,
1,1,1,1,1,
1,1,1,1,1,
1,1,1,1,1,
1,1,1,1,1,
1,1,1,1,2,
1,1,2,1,3,
1,1,1,1,2,
1,1,1,1,2,
1,1,1,1,2,
1,1,2,1,3,
1,1,2,1,3,
1,1,2,1,2,
1,1,1,1,1,
1,1,1,1,1,
1,1,1,1,1,
1,1,1,1,1,
1,1,1,1,1,
1,1,1,1,1,
a8ef4028-041a-493a-9533-69128163e372,b09a5c5c-0cbe-42a7-9b57-76890d1136cd,47f1f956-10f3-4462-9f03-8a3e351b5a6b,59508e59-ebec-45db-ab21-0593ac6543bf,d994db74-b92b-49d0-b9ab-07dd1b96d315,fe3fe33a-96d5-4de8-b548-0bcddff732fe,
0.65,0.375,NaN,0.625,2.4851190476190474,0.7291666666666669,
0.65,0.375,NaN,0.625,2.4851190476190474,0.7291666666666669,
0.65,0.375,NaN,0.625,2.4851190476190474,0.7291666666666669,
0.65,0.375,NaN,0.625,2.4851190476190474,0.7291666666666669,
0.65,0.375,NaN,0.625,2.4851190476190474,0.7291666666666669,
0.65,0.375,NaN,0.625,2.4851190476190474,0.7291666666666669,
0.65,0.375,NaN,0.625,2.4851190476190474,0.7291666666666669,
0.65,0.375,NaN,0.625,2.4851190476190474,0.7291666666666669,
0.65,0.375,NaN,0.625,2.4851190476190474,0.7291666666666669,
0.65,0.375,NaN,0.625,9.199976056523,10.129966479132198,
0.65,0.375,NaN,0.625,13.887459345965421,16.69244308435159,
0.65,0.375,NaN,0.625,89.18401011495129,0.7291666666666669,
0.65,0.375,NaN,0.625,6.0749735849798245,5.754963018971754,
0.6500000000000001,0.375,NaN,0.625,9.981132204126077,11.22358508577651,
0.65,0.375,NaN,0.625,13.887459345965421,16.69244308435159,
0.65,0.375,NaN,0.625,59.747247374060734,0.7291666666666667,
0.65,0.375,NaN,0.625,89.18401011495129,0.7291666666666669,
0.65,0.375,NaN,0.625,13.887460076822194,16.692444107551076,
0.65,0.375,NaN,0.625,6.0749737290006545,5.754963220600916,
0.65,0.375,NaN,0.625,2.4851190476190474,0.7291666666666669,
0.65,0.375,NaN,0.625,2.4851190476190474,0.7291666666666669,
0.65,0.375,NaN,0.625,2.4851190476190474,0.7291666666666669,
0.65,0.375,NaN,0.625,2.4851190476190474,0.7291666666666669,
0.65,0.375,NaN,0.625,2.4851190476190474,0.7291666666666669,


